iter	Logloss
0	0.6914433554
1	0.6895525527
2	0.6874241476
3	0.6850208456
4	0.6833128066
5	0.6814438653
6	0.6793986725
7	0.677687451
8	0.6756158358
9	0.6735583031
10	0.6716344815
11	0.6695672076
12	0.6675580533
13	0.6657555596
14	0.66401705
15	0.6622985237
16	0.6605154296
17	0.6590536537
18	0.6577829154
19	0.6563079242
20	0.6541280926
21	0.6530813227
22	0.6514288927
23	0.6500923399
24	0.6485061944
25	0.6469632222
26	0.645399724
27	0.6438995165
28	0.6427266237
29	0.6412185915
30	0.6392238236
31	0.6380083275
32	0.6366656225
33	0.6353342798
34	0.6338497154
35	0.6324901961
36	0.6301223031
37	0.6287801427
38	0.6275156876
39	0.6262141243
40	0.624906357
41	0.6228801204
42	0.6213023914
43	0.6200249877
44	0.61804698
45	0.616837119
46	0.615711381
47	0.6145210085
48	0.6133011314
49	0.6121448142
50	0.610627627
51	0.6092946719
52	0.6073936251
53	0.6065042417
54	0.6052883534
55	0.6042350594
56	0.6033139059
57	0.6022497098
58	0.6011718497
59	0.5999798581
60	0.5983572882
61	0.5972116227
62	0.5959769888
63	0.594703034
64	0.5937299475
65	0.5930570422
66	0.5921675803
67	0.5914640056
68	0.5901024515
69	0.5889410421
70	0.5878711427
71	0.5868431344
72	0.585911105
73	0.584971364
74	0.5841034907
75	0.5832861084
76	0.5821847113
77	0.5806652002
78	0.5796862595
79	0.5784570855
80	0.5773076409
81	0.576397881
82	0.5750157964
83	0.5741333683
84	0.5729923471
85	0.5721080593
86	0.5710310386
87	0.5701613175
88	0.5693278492
89	0.5682162128
90	0.5671358133
91	0.5662306033
92	0.5651283914
93	0.564293938
94	0.5634674504
95	0.5628201402
96	0.5617213598
97	0.5605384669
98	0.5593452226
99	0.5584655665
100	0.5576124373
101	0.5565867162
102	0.5556913067
103	0.5549310945
104	0.5540705889
105	0.5533303433
106	0.5520397633
107	0.551070367
108	0.5503157759
109	0.5492353503
110	0.5485067707
111	0.5478265015
112	0.5469933727
113	0.5463719769
114	0.5456729382
115	0.5449419208
116	0.5443153077
117	0.5435731697
118	0.5427909595
119	0.5420651445
120	0.5413467248
121	0.5406364595
122	0.5399530042
123	0.5391485325
124	0.5384528415
125	0.5375931065
126	0.5370948958
127	0.5365447425
128	0.5353220368
129	0.5346106318
130	0.5340342163
131	0.5335014776
132	0.5327326342
133	0.531952553
134	0.5310882067
135	0.5302977766
136	0.5293889567
137	0.5289718944
138	0.5282687593
139	0.5277543346
140	0.527106553
141	0.5266513282
142	0.5259947294
143	0.5252996047
144	0.5247031375
145	0.5242197566
146	0.5236954028
147	0.5232611413
148	0.5224904919
149	0.5215719423
150	0.5210600296
151	0.5202713236
152	0.5197755289
153	0.5191977488
154	0.5186779395
155	0.5181345169
156	0.5175602121
157	0.5167627593
158	0.5162255754
159	0.5156906106
160	0.5150963316
161	0.5146128213
162	0.5142086517
163	0.5137361849
164	0.5132271859
165	0.5126165172
166	0.5122911673
167	0.5117156311
168	0.5111697732
169	0.5105825094
170	0.5100821985
171	0.5094923166
172	0.5090579296
173	0.5084766783
174	0.5075645206
175	0.5071888073
176	0.5066978279
177	0.506278057
178	0.5057395781
179	0.5054499548
180	0.5049272155
181	0.5045993805
182	0.5041531466
183	0.5036169274
184	0.5031150145
185	0.502781684
186	0.5021113437
187	0.5017036722
188	0.5011246776
189	0.5006845257
190	0.5001173713
191	0.4995194304
192	0.4990769972
193	0.4986817009
194	0.4980498566
195	0.4975147589
196	0.4968515875
197	0.4965196641
198	0.4961168301
199	0.4956856736
200	0.4955401998
201	0.4951425922
202	0.4945419596
203	0.4941075187
204	0.4937500088
205	0.4933292356
206	0.4927495068
207	0.4922336792
208	0.4918744316
209	0.4914083527
210	0.4907924197
211	0.490387086
212	0.4899480453
213	0.4896220739
214	0.4890975056
215	0.4888031415
216	0.488314045
217	0.4879677413
218	0.4876488336
219	0.487125084
220	0.4866580554
221	0.486100494
222	0.4857171786
223	0.4853981732
224	0.484795876
225	0.4844221855
226	0.4840165145
227	0.4834160161
228	0.4829631039
229	0.4825788358
230	0.4822687422
231	0.4817698255
232	0.4813317311
233	0.4811062964
234	0.480765179
235	0.4803774179
236	0.479999465
237	0.4796697742
238	0.4792033577
239	0.4788235813
240	0.4784585311
241	0.4781174996
242	0.4777230385
243	0.4774579112
244	0.4771249772
245	0.476919659
246	0.4766502772
247	0.476200916
248	0.4758967611
249	0.47558605
250	0.475206275
251	0.4749286704
252	0.4746107038
253	0.474424513
254	0.4741776014
255	0.4738502687
256	0.4735159132
257	0.473143246
258	0.4729242106
259	0.4726932875
260	0.472300214
261	0.4719255951
262	0.4715046793
263	0.4712562527
264	0.4709869844
265	0.4707389349
266	0.4705660244
267	0.47027421
268	0.4700518996
269	0.4698120211
270	0.4695504817
271	0.469279192
272	0.4687777641
273	0.4682712769
274	0.4680093087
275	0.4677945397
276	0.4672826566
277	0.4670509476
